Degree,HSV_Hue Mean,Hue Mean,HSV_Hue Std,B Mean,A Mean,Hue Std,Homogeneity,Contrast,Correlation,B Std,Skewness A,Skewness B,L Std
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.52,0.47,0.45,0.46,0.6,0.21,0.86,0.11,0.96,0.21,-0.3,0.41,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.81,0.22,0.36,0.33,0.57,0.1,0.65,0.16,0.93,0.17,-0.32,0.52,0.19
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.05,0.37,0.04,0.25,0.3,0.12,0.64,0.99,0.84,0.13,0.1,0.74,0.11
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.62,0.35,0.46,0.56,0.68,0.18,0.41,0.18,0.92,0.14,-1.71,-1.11,0.21
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.59,0.34,0.48,0.38,0.53,0.2,0.71,0.06,0.96,0.18,0.25,0.43,0.14
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.05,0.43,0.19,0.29,0.26,0.13,0.86,0.04,0.95,0.13,1.65,1.72,0.17
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.66,0.54,0.14,0.4,0.39,0.16,0.6,0.15,0.95,0.1,0.33,0.94,0.18
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.05,0.48,0.18,0.42,0.6,0.09,0.85,0.04,0.95,0.11,1.39,1.61,0.14
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.02,0.41,0.01,0.46,0.42,0.11,0.71,0.05,0.96,0.09,0.54,1.15,0.13
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.05,0.53,0.01,0.69,0.58,0.08,0.53,0.09,0.95,0.07,0.22,-0.2,0.12
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
1,0.02,0.37,0.01,0.5,0.48,0.09,0.5,0.14,0.94,0.1,0.23,0.06,0.18
